song_code	song_title	artist	album_cover	album_title	public_date	genre	lyrics	public_date_DV	emotion	singer_code	song_name	singer_name	plylstseq	tag
31927275	한 페이지가 될 수 있게	DAY6 (데이식스)	https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg?84c9c2f6f52301ab6327b78cf41efe82/melon/resize/512/quality/100/optimize	The Book of Us : Gravity	2019.07.15	록/메탈	솔직히 말할게 많이 기다려 왔어 너도 그랬을 거라 믿어 오늘이 오길 매일같이 달력을 보면서 솔직히 나에게도 지금 이 순간은 꿈만 같아 너와 함께라 오늘을 위해 꽤 많은 걸 준비해 봤어 All about you and I 다른 건 다 제쳐 두고 Now come with me Take my hand 아름다운 청춘의 한 장 함께 써내려 가자 너와의 추억들로 가득 채울래 Come on 아무 걱정도 하지는 마 나에게 다 맡겨 봐 지금 이 순간이 다시 넘겨볼 수 있는 한 페이지가 될 수 있게 This is our page Our page 솔직히 말할게 지금이 오기까지 마냥 순탄하진 않았지 오늘이 오길 나도 목 빠져라 기다렸어 솔직히 나보다도 네가 몇 배는 더 힘들었을 거라고 믿어 오늘을 위해 그저 견뎌줘서 고마워 All about you and I 다른 건 다 제쳐 두고 Now come with me Take my hand 아름다운 청춘의 한 장 함께 써내려 가자 너와의 추억들로 가득 채울래 Come on 아무 걱정도 하지는 마 나에게 다 맡겨 봐 지금 이 순간이 다시 넘겨볼 수 있는 한 페이지가 될 수 있게 Want you to Come on out and have fun Want us to Have the time of our life Oh 너와의 추억들로 가득 채울래 Come on 아무 걱정도 하지는 마 나에게 다 맡겨 봐 지금 이 순간이 다시 넘겨볼 수 있는 한 페이지가 될 수 있게 This is our page Our page 	2020	기쁨	894864	한 페이지가 될 수 있게	DAY6 (데이식스)	506070970//462790646//535604305//502268707//524108320//510682433//538251263//523697411//528719662//497636626//453964820//515003600//100098226//510915258//467063115//460845888//531900125//531105621//534780666//423060429//100098748//537942018//520483042//471944189//532934487//513216752	댄스//드라이브//신나는//여행//케이팝//아이돌//kpop//드라이브//여행//그루브//여행//청량//시원한//더위//바다//휴가//청량한//기분좋은//여름//청량//청량한//밴드//청춘//밴드//아련한//청춘//밴드//청춘//밴드//분위기//파티//애창곡//노동요//내적댄스//지하철//행복//행복한//노래방//애창곡//회식//코인노래방//인기곡//국내//코인노래방//인기곡//노래방추천곡//노래방추천곡//연애//썸//퇴근길//행복//행복한//출근길//상쾌한//상쾌한//상쾌한//연말//상처
37023625	비의 랩소디	임재현	https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg?54e243dd4f188d67c0742fa334acb512/melon/resize/512/quality/100/optimize	비의 랩소디	2023.12.03	발라드	이젠 눈물 그쳐 나를 봐요 우는 그대 더 아름다워 내게 이 모습조차 더 남지 않도록 그냥 고개 돌려요 그저 미안한 마음뿐이죠 그댈 위해 해줄 게 없어 모두 이해할게요 그댈 아끼는 맘 그분들도 같을 거란 걸 한참 동안을 비틀거렸죠 그댈 사랑했던 그만큼 떠나가요 아주 먼 곳으로 그대 소식 내게 올 수 없을 그만큼 다 잊어요 내겐 마지막이 될 사람도 모두 다 버려두고 갈게요 나를 위해 많이 애썼단 걸 알고 있죠 난 감사해요 허나 이룰 수 없는 건 어쩔 수 없죠 내가 용기 낼게요 이젠 죽는 날까지 사랑한대도 가질 수 없는 그대인걸 떠나가요 아주 먼 곳으로 그대 소식 내게 올 수 없을 그만큼 다 잊어요 내겐 마지막이 될 사람도 모두 다 버려두고 갈게요 떠나가요 아주 먼 곳으로 그대 소식 내게 올 수 없을 그만큼 혹시라도 내가 그리울 때면 세상에 내가 없다고 믿어요 	2020	슬픔	2087273	비의 랩소디	임재현	457536543//534972865//457505963//405075509//536277624//531241861//439284456//510915258//467063115//514460824//460845888//414047899//525345652//528821859	발라드//감성//카페//명곡//가요//까페//국내//발라드//봄//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//이별//밤//비오는날//노래방//센치한//비//센치//외로움//인디//비오는날//매장//장마//인디//슬픔//어쿠스틱//슬픈//노래방//애창곡//회식//코인노래방//인기곡//국내//고음//코인노래방//가창력//노래방추천곡//이별노래//헤어짐
36382580	헤어지자 말해요	박재정	https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg?f2aaefe2470b9694d40b0ad16df118a6/melon/resize/512/quality/100/optimize	1집 Alone	2023.04.20	발라드	헤어지자고 말하려 오늘 너에게 가다가 우리 추억 생각해 봤어 처음 본 네 얼굴 마주친 눈동자 가까스로 본 너의 그 미소들 손을 잡고 늘 걷던 거리에 첫눈을 보다가 문득 고백했던 그 순간 가보고 싶었던 식당 난생처음 준비한 선물 고맙다는 너의 그 눈물들이 바뀔까 봐 두려워 그대 먼저 헤어지자 말해요 나는 사실 그대에게 좋은 사람이 아녜요 그대 이제 날 떠난다 말해요 잠시라도 이 행복을 느껴서 고마웠다고 시간이 지나고 나면 나는 어쩔 수 없을 걸 문득 너의 사진 보겠지 새로 사귄 친구 함께 웃음 띤 네 얼굴 보면 말할 수 없을 묘한 감정들이 힘들단 걸 알지만 그대 먼저 헤어지자 말해요 나는 사실 그대에게 좋은 사람이 아녜요 그대 이제 날 떠난다 말해요 잠시라도 이 행복을 느껴서 고마웠다고 한 번은 널 볼 수 있을까 이기적인 거 나도 잘 알아 그땐 그럴 수밖에 없던 어린 내게 한 번만 더 기회를 주길 그댈 정말 사랑했다 말해요 나는 사실 그대에게 좋은 사람이 되고 싶었어 영영 다신 못 본다 해도 그댈 위한 이 노래가 당신을 영원히 사랑할 테니 	2020	슬픔	738480	헤어지자 말해요	박재정	457536543//100098236//534972865//457505963//480011338//516213208//427705075//405075509//536277624//508587691//503955542//431599853//101579569//439284456//510005699//510915258//467063115//456209432//532341906//514460824//460845888//414047899//508631242//531900125//416281259//525345652//534780666//488449688//433894682//402475544//404115444//499356701//487782547//528821859//455738122//456209946//533375184//533388486//526312413//458879845//403724501	발라드//감성//카페//명곡//가요//까페//국내//발라드//추억//명곡//스트레스//가요//노래방//애절한//발라드//봄//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//발라드//이별//사랑//비오는날//여름//눈물//헤어짐//이별//노래방//센치한//OST//센치//이별//슬픔//슬픈//아픔//이별//밤//비오는날//노래방//센치한//비//센치//외로움//인디//비오는날//매장//장마//새벽//밤//위로//혼자//가을//우울//우울한//애절한//밤//새벽감성//슬픔//분위기//가요//센치한//슬픈//우울//우울한//센치//슬픔//어쿠스틱//슬픈//슬픔//슬픈//헤어짐//노래방//애창곡//회식//코인노래방//인기곡//국내//고음//가창력//애절한//고음//고음//코인노래방//가창력//가창력//인기곡//남자//노래방추천곡//노래방추천곡//감성적인//새벽감성//감성적//혼자//우울//우울한//눈물//그리움//아픔//눈물//헤어짐//애절한//이별노래//이별노래//헤어짐//이별노래//헤어짐//공감//후회//보고싶다//화나는//newieans//우울할때//상처//마음
4446485	너의 모든 순간	성시경	https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/512/quality/100/optimize	별에서 온 그대 OST Part.7	2014.02.12	발라드	이윽고 내가 한눈에 너를 알아봤을 때 모든 건 분명 달라지고 있었어 내 세상은 널 알기 전과 후로 나뉘어 니가 숨 쉬면 따스한 바람이 불어와 니가 웃으면 눈부신 햇살이 비춰 거기 있어줘서 그게 너라서 가끔 내 어깨에 가만히 기대주어서 나는 있잖아 정말 빈틈없이 행복해 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다 보곤 해 그것 말고는 아무것도 할 수 없어서 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 보고 있으면 왠지 꿈처럼 아득한 것 몇 광년 동안 날 향해 날아온 별빛 또 지금의 너 거기 있어줘서 그게 너라서 가끔 나에게 조용하게 안겨주어서 나는 있잖아 정말 남김없이 고마워 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다보곤 해 너를 보는 게 나에게는 사랑이니까 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 니 모든 순간 나였으면 	2010	기쁨	3305	너의 모든 순간	성시경	457536543//534972865//457505963//527521183//506225967//427705075//534972963//537817796//506678644//529532088//518466985//514695752//534434404//101579569//455963408//499283495//457536944//100098520//510915258//467063115//519375593//456209432//460845888//516242542//519950938//416281259//523798577//524897880//533912028//434658397//507521599//513801496//522919220//421769930//535426120//456209863//421030382//491546634//518259560//424284364	발라드//감성//카페//명곡//가요//까페//국내//발라드//봄//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//발라드//이별//사랑//카페//봄//까페//감성//기분전환//휴식//힐링//출퇴근//신나는//주말//OST//일상//이별//슬픔//슬픈//아픔//사랑//고백//인디//설렘//새벽//위로//90년대//최신가요//겨울//가을//산책//봄//매장//슬픔//분위기//가요//센치한//슬픈//우울//우울한//센치//힐링//명곡//회상//그리움//위로//OST//명곡//트렌디//OST//가요//2000년대//그리움//노래방//애창곡//회식//코인노래방//인기곡//국내//애창곡//코인노래방//고음//가창력//애절한//코인노래방//코인노래방//남자//인기곡//남자//남자//노래방추천곡//연애//지하철//지하철//눈물//애절한//OST//일상//일상//고백//고백//후회//아픔//크리스마스//따뜻한//연말//크리스마스//연말
31666417	주저하는 연인들을 위해	잔나비	https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg?02df39ed806cd5e224ae1be4ab9417dd/melon/resize/512/quality/100/optimize	전설	2019.03.13	인디음악	나는 읽기 쉬운 마음이야 당신도 스윽 훑고 가셔요 달랠 길 없는 외로운 마음 있지 머물다 가셔요 음 내게 긴 여운을 남겨줘요 사랑을 사랑을 해줘요 할 수 있다면 그럴 수만 있다면 새하얀 빛으로 그댈 비춰 줄게요 그러다 밤이 찾아오면 우리 둘만의 비밀을 새겨요 추억할 그 밤 위에 갈피를 꽂고선 남몰래 펼쳐보아요 나의 자라나는 마음을 못 본 채 꺾어 버릴 순 없네 미련 남길바엔 그리워 아픈 게 나아 서둘러 안겨본 그 품은 따스할 테니 그러다 밤이 찾아오면 우리 둘만의 비밀을 새겨요 추억할 그 밤 위에 갈피를 꽂고선 남몰래 펼쳐보아요 언젠가 또 그날이 온대도 우린 서둘러 뒤돌지 말아요 마주보던 그대로 뒷걸음치면서 서로의 안녕을 보아요 피고 지는 마음을 알아요 다시 돌아온 계절도 난 한 동안 새 활짝 피었다 질래 또 한번 영원히 그럼에도 내 사랑은 또 같은 꿈을 꾸고 그럼에도 꾸던 꿈을 난 또 미루진 않을거야 	2020	슬픔	772253	주저하는 연인들을 위해	잔나비	534972865//521849384//457536706//401872364//530754374//488053652//429956322//101565452//439284456//510638043//520608035//528982367//457169589//100098520//510915258//490165347//470182432//517853324//457823843//457823847//524897880//482157549//492782170//522118665//402820127//434658397//421030382//520387378//457528978//532239621//513461114	발라드//봄//인디//인디//가요//국내//인디//밤//최신가요//겨울//따뜻한//연말//가을//봄//설렘//산책//슬픔//어쿠스틱//슬픈//비오는날//비//장마//인디음악//인디음악//인디음악//가요//2000년대//그리움//노래방//애창곡//남자//썸//회식//코인노래방//우울할때//가창력//남자//노래방추천곡//흐린날//흐린날//혼자//우울//우울한//달달//지하철//후회//고요한//국내//감정//마음
34819473	사건의 지평선	윤하 (YOUNHA)	https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg?e89c53bde5d39b21b09e8007db5b9cc0/melon/resize/512/quality/100/optimize	YOUNHA 6th Album Repackage 'END THEORY : Final Edition'	2022.03.30	록/메탈	생각이 많은 건 말이야 당연히 해야 할 일이야 나에겐 우리가 지금 1순위야 안전한 유리병을 핑계로 바람을 가둬 둔 것 같지만 기억나? 그날의 우리가 잡았던 그 손엔 말이야 설레임보다 커다란 믿음이 담겨서 난 함박웃음을 지었지만 울음이 날 것도 같았어 소중한 건 언제나 두려움이니까 문을 열면 들리던 목소리 너로 인해 변해있던 따뜻한 공기 여전히 자신 없지만 안녕히 저기, 사라진 별의 자리 아스라이 하얀 빛 한동안은 꺼내 볼 수 있을 거야 아낌없이 반짝인 시간은 조금씩 옅어져 가더라도 너와 내 맘에 살아 숨 쉴 테니 여긴, 서로의 끝이 아닌 새로운 길 모퉁이 익숙함에 진심을 속이지 말자 하나 둘 추억이 떠오르면 많이 많이 그리워할 거야 고마웠어요 그래도 이제는 사건의 지평선 너머로 솔직히 두렵기도 하지만 노력은 우리에게 정답이 아니라서 마지막 선물은 산뜻한 안녕 저기, 사라진 별의 자리 아스라이 하얀 빛 한동안은 꺼내 볼 수 있을 거야 아낌없이 반짝인 시간은 조금씩 옅어져 가더라도 너와 내 맘에 살아 숨 쉴 테니 여긴, 서로의 끝이 아닌 새로운 길 모퉁이 익숙함에 진심을 속이지 말자 하나 둘 추억이 떠오르면 많이 많이 그리워할 거야 고마웠어요 그래도 이제는 사건의 지평선 너머로 저기, 사라진 별의 자리 아스라이 하얀 빛 한동안은 꺼내 볼 수 있을 거야 아낌없이 반짝인 시간은 조금씩 옅어져 가더라도 너와 내 맘에 살아 숨 쉴 테니 여긴, 서로의 끝이 아닌 새로운 길 모퉁이 익숙함에 진심을 속이지 말자 하나 둘 추억이 떠오르면 많이 많이 그리워할 거야 고마웠어요 그래도 이제는 사건의 지평선 너머로 사건의 지평선 너머로 	2020	기쁨	203912	사건의 지평선	윤하 (YOUNHA)	502383664//439284456//510682433//510915258//514460824//460845888//414047899//531900125//517367797//471944189//490240227//518852447//521769217//460845233//426733235	봄//위로//출퇴근//센치한//센치//슬픔//어쿠스틱//슬픈//여름//청량//청량한//노래방//고음//코인노래방//가창력//인기곡//아련한//상쾌한//즐거운//캐롤//밝은//공감//마음
32061975	어떻게 이별까지 사랑하겠어, 널 사랑하는 거지	AKMU (악뮤)	https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg?c6e307f67cf7124ec13127cd60ab569f/melon/resize/512/quality/100/optimize	항해	2019.09.25	발라드	일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널 바라본다 옆자리 허전한 너의 풍경 흑백 거리 가운데 넌 뒤돌아본다 그때 알게 되었어 난 널 떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별보단 버틸 수 있는 것들이었죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다 아무 말 없는 대화 나누며 주마등이 길을 비춘 먼 곳을 본다 그때 알게 되었어 난 더 갈 수 없단 걸 한 발 한 발 이별에 가까워질수록 너와 맞잡은 손이 사라지는 것 같죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 	2020	슬픔	712452	어떻게 이별까지 사랑하겠어, 널 사랑하는 거지	AKMU (악뮤)	457536543//534972865//457577553//528238887//457505963//527521183//524528555//427705075//405075509//536277624//508587691//518466985//514695752//101579569//403014132//510005699//455963408//510682137//100098520//510915258//501135273//459228800//482157549//522118665//433894682//402475544//506971760//404115444//524296977//532339519//513948343//528821859//516470539//522919220//421769930//482657845//459427133//533375184//531731147//491546634//529108821//531110054//424284364//536648217//535174361//526312413//532239621//458879845//462346240//101574150	발라드//감성//카페//명곡//가요//까페//국내//발라드//봄//발라드//감성//잔잔한//슬픔//비오는날//센치한//비//슬픈//센치//잔잔//발라드//감성//이별//추억//비오는날//출퇴근//여름//회상//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//발라드//이별//사랑//카페//봄//까페//이별//슬픔//위로//회상//슬픈//우울//우울한//차분한//차분//이별//슬픔//슬픈//아픔//이별//밤//비오는날//노래방//센치한//비//센치//외로움//인디//비오는날//매장//장마//새벽//밤//위로//혼자//겨울//가을//산책//슬픔//분위기//가요//센치한//슬픈//우울//우울한//센치//슬픔//슬픈//그리움//슬픔//슬픈//헤어짐//힐링//명곡//회상//그리움//위로//힘들때//가요//2000년대//그리움//노래방//코인노래방//노래방추천곡//흐린날//혼자//우울//우울한//혼자//우울//우울한//눈물//그리움//아픔//눈물//눈물//헤어짐//짝사랑//짝사랑//이별노래//헤어짐//이별노래//헤어짐//외로움//일상//일상//헤어짐//후회//아픔//후회//아픔//후회//보고싶다//후회//아픔//아픔//보고싶다//크리스마스//연말//평온한//무기력//우울할때//감정//상처//상처//마음
30962526	모든 날, 모든 순간 (Every day, Every Moment)	폴킴	https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg?fa24fa8eabdd1e9e13759225831e2eec/melon/resize/512/quality/100/optimize	'키스 먼저 할까요?' OST Part.3	2018.03.20	발라드	네가 없이 웃을 수 있을까 생각만 해도 눈물이나 힘든 시간 날 지켜준 사람 이제는 내가 그댈 지킬 테니 너의 품은 항상 따뜻했어 고단했던 나의 하루에 유일한 휴식처 나는 너 하나로 충분해 긴 말 안 해도 눈빛으로 다 아니깐 한 송이의 꽃이 피고 지는 모든 날 모든 순간 함께해 햇살처럼 빛나고 있었지 나를 보는 네 눈빛은 꿈이라고 해도 좋을 만큼 그 모든 순간은 눈부셨다 불안했던 나의 고된 삶에 한줄기 빛처럼 다가와 날 웃게 해준 너 나는 너 하나로 충분해 긴 말 안 해도 눈빛으로 다 아니깐 한 송이의 꽃이 피고 지는 모든 날 모든 순간 함께해 알 수 없는 미래지만 네 품속에 있는 지금 순간 순간이 영원 했으면 해 갈게 바람이 좋은 날에 햇살 눈부신 어떤 날에 너에게로 처음 내게 왔던 그날처럼 모든 날 모든 순간 함께해 	2020	기쁨	752425	모든 날, 모든 순간 (Every day, Every Moment)	폴킴	457536543//534972865//528238887//457505963//427705075//534972963//510682185//537817796//536277624//530754374//518466985//514101009//510005699//455963408//518606600//457536944//421902326//100098520//532865078//510915258//519375593//455312290//456209432//470713648//501135273//517853324//519965780//507521599//513801496//533844077//515934171//472928824//422704801//516470539//522919220//535426120//456209863//518655466//476919134//535174361//496046809	발라드//감성//카페//명곡//가요//까페//국내//발라드//봄//발라드//감성//이별//추억//비오는날//출퇴근//여름//회상//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//이별//슬픔//슬픈//아픔//사랑//고백//사랑//설렘//달달//인디//설렘//인디//비오는날//매장//장마//최신가요//겨울//가을//슬픔//슬픈//헤어짐//힐링//명곡//회상//그리움//설렘//분위기//감성적인//OST//감성적//명곡//트렌디//OST//랩//가요//2000년대//그리움//재즈//데이트//여유//노래방//애창곡//코인노래방//애창곡//가창력//고음//가창력//애절한//히트곡//코인노래방//코인노래방//우울할때//노래방추천곡//눈물//애절한//OST//짝사랑//이별노래//이별노래//외로움//외로움//일상//고백//고백//아픔//차분한//차분//무기력//조용
34431086	취중고백	김민석	https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg?c1818ddc493cb2bbb4d268431e6de7b5/melon/resize/512/quality/100/optimize	취중고백	2021.12.19	발라드	뭐하고 있었니 늦었지만 잠시 나올래 너의 집 골목에 있는 놀이터에 앉아 있어 친구들 만나서 오랜만에 술을 좀 했는데 자꾸만 니 얼굴 떠올라 무작정 달려왔어 이 맘 모르겠니 요즘 난 미친 사람처럼 너만 생각해 대책없이 네가 점점 좋아져 아냐 안 취했어 진짜야 널 정말 사랑해 눈물이 날만큼 원하고 있어 정말로 몰랐니 가끔 전화해 장난치듯 주말엔 뭐할거냐며 너의 관심 끌던 나를 그리고 한번씩 누나 주려 샀는데 너 그냥 준다고 생색 낸 선물도 너 때문에 산거야 이 맘 모르겠니 요즘 난 미친 사람처럼 너만 생각해 대책없이 네가 점점 좋아져 아냐 안 취했어 진짜야 널 정말 사랑해 진심이야 믿어줘 갑자기 이런 말 놀랐다면 미안해 부담이 되는게 당연해 이해해 널 하지만 내 고백도 이해해 주겠니 oh 지금 당장 대답하진마 나와 일주일만 사귀어줄래 후회없이 잘 해주고 싶은데 그 후에도 니가 싫다면 나 그때 포기할게 귀찮게 안할게 혼자 아플게 진심이야 너를 사랑하고 있어 	2020	기쁨	839736	취중고백	김민석	457536543//534972865//457505963//534972963//483671388//529532088//514695752//431599853//534434404//101579569//520723710//515208814//510915258//456209432//516242542//416281259//528059536//505875847//515934171//526312413//536527285	발라드//감성//카페//명곡//가요//까페//국내//발라드//봄//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//사랑//고백//최신가요//최신가요//가을//산책//밤//새벽감성//봄//매장//슬픔//분위기//가요//센치한//슬픈//우울//우울한//센치//감성힙합//짝사랑//어쿠스틱//노래방//고음//가창력//애절한//코인노래방//남자//남자//연애//달달//썸//짝사랑//고백//이별노래//우울할때//감정
36334401	사랑하지 않아서 그랬어	임한별	https://cdnimg.melon.co.kr/cm2/album/images/112/15/072/11215072_20230331123824_500.jpg?77ca77fa2b0688e34eaebbd760de82ab/melon/resize/512/quality/100/optimize	사랑하지 않아서 그랬어	2023.04.02	발라드	사랑하지 않기로 했어 나만 생각하기로 했어 니 눈물을 못 본 척 좀 해야겠어 나쁜 사람 되기 싫어서 구차해지는 변명들로 괜한 기대하게 만들기 싫었어 마지막까지 상처 주긴 싫은데 난 여전히 너를 배려해 줄 자신이 없는걸 사랑하지 않았어 미안해 참 많이 고마웠어 미련 갖는 일 그런 일 없을 거야 정말 매번 져주려 했던 너에게 기어코 이겨보려 애썼던 순간도 너를 필요 없어 했던 밤도 사랑하지 않아서 그랬어 마지막으로 안아주면 안 될까 말하는 니 얼굴 떳떳하게 볼 수가 없는걸 사랑하지 않았어 미안해 참 많이 고마웠어 미련 갖는 일 그런 일 없을 거야 정말 매번 져주려 했던 너에게 기어코 이겨보려 애썼던 순간도 너를 필요 없어 했던 밤도 사랑하지 않아서 그랬어 넌 모르지 내 맘이 어떤지 계속 사랑해보려 애를 썼어 내가 다 미안해 도망치는 내가 밉겠지만 나는 후련한 거 같아 여기까지만 해 기다리면은 안 돼 잘 들어 날 미워해야만 해 계속 울어도 난 멀리 떠날 거야 제발 니가 괴롭든 말든 꺼놨던 전화도 아픈 니가 귀찮았던 밤도 하다못해 지금 내 말투도 사랑하지 않아서 그랬어 	2020	슬픔	471741	사랑하지 않아서 그랬어	임한별	457536543//100098236//534972865//457505963//480011338//516213208//405075509//536277624//503955542//510005699//510915258//460845888//414047899//525345652//488449688//475022783//433894682//404115444//521014779//487782547//528821859//421769930//482657845//484650796//477492505//504499395	발라드//감성//카페//명곡//가요//까페//국내//발라드//추억//명곡//스트레스//가요//노래방//애절한//발라드//봄//발라드//카페//명곡//가요//감성적인//까페//감성적//국내//발라드//이별//사랑//비오는날//여름//눈물//헤어짐//이별//노래방//센치한//OST//센치//이별//밤//비오는날//노래방//센치한//비//센치//외로움//인디//비오는날//매장//장마//가을//우울//우울한//애절한//슬픔//슬픈//헤어짐//노래방//코인노래방//가창력//노래방추천곡//감성적인//새벽감성//감성적//새벽감성//혼자//우울//우울한//눈물//헤어짐//짝사랑//이별노래//이별노래//헤어짐//일상//헤어짐//후회//아픔//후회//고독//마음
