keyword,playlist_numbers,related_tags_numbers,related_tags
발라드,17398,30,발라드
발라드,17398,30,감성
발라드,17398,30,잔잔한
발라드,17398,30,이별
발라드,17398,30,댄스
발라드,17398,30,사랑
발라드,17398,30,알앤비
발라드,17398,30,카페
발라드,17398,30,인디
발라드,17398,30,힙합
발라드,17398,30,기분전환
발라드,17398,30,휴식
발라드,17398,30,케이팝
발라드,17398,30,추억
발라드,17398,30,새벽
발라드,17398,30,드라이브
발라드,17398,30,최신가요
발라드,17398,30,오늘신곡모음
발라드,17398,30,겨울
발라드,17398,30,가을
발라드,17398,30,밤
발라드,17398,30,봄
발라드,17398,30,슬픔
발라드,17398,30,힐링
발라드,17398,30,설렘
발라드,17398,30,위로
발라드,17398,30,명곡
발라드,17398,30,비오는날
발라드,17398,30,매장
발라드,17398,30,출퇴근
힙합,13271,30,힙합
힙합,13271,30,랩
힙합,13271,30,알앤비
힙합,13271,30,감성
힙합,13271,30,드라이브
힙합,13271,30,기분전환
힙합,13271,30,신나는
힙합,13271,30,댄스
힙합,13271,30,발라드
힙합,13271,30,케이팝
힙합,13271,30,최신가요
힙합,13271,30,오늘신곡모음
힙합,13271,30,국내힙합
힙합,13271,30,국힙
힙합,13271,30,감성힙합
힙합,13271,30,운동
힙합,13271,30,외힙
힙합,13271,30,카페
힙합,13271,30,HipHop
힙합,13271,30,매장음악
힙합,13271,30,트렌디
힙합,13271,30,스트레스
힙합,13271,30,그루브
힙합,13271,30,외국힙합
힙합,13271,30,클럽
힙합,13271,30,팝
힙합,13271,30,여행
힙합,13271,30,새벽
힙합,13271,30,RnB
힙합,13271,30,휴식
인디,8502,30,인디
인디,8502,30,감성
인디,8502,30,잔잔한
인디,8502,30,발라드
인디,8502,30,카페
인디,8502,30,새벽
인디,8502,30,기분전환
인디,8502,30,휴식
인디,8502,30,봄
인디,8502,30,사랑
인디,8502,30,설렘
인디,8502,30,밤
인디,8502,30,드라이브
인디,8502,30,힐링
인디,8502,30,인디음악
인디,8502,30,출퇴근
인디,8502,30,위로
인디,8502,30,매장
인디,8502,30,이별
인디,8502,30,알앤비
인디,8502,30,가을
인디,8502,30,겨울
인디,8502,30,여름
인디,8502,30,어쿠스틱
인디,8502,30,산책
인디,8502,30,여행
인디,8502,30,밴드
인디,8502,30,분위기
인디,8502,30,신나는
인디,8502,30,매장음악
댄스,7135,30,댄스
댄스,7135,30,신나는
댄스,7135,30,발라드
댄스,7135,30,케이팝
댄스,7135,30,힙합
댄스,7135,30,기분전환
댄스,7135,30,알앤비
댄스,7135,30,최신가요
댄스,7135,30,오늘신곡모음
댄스,7135,30,드라이브
댄스,7135,30,아이돌
댄스,7135,30,운동
댄스,7135,30,여름
댄스,7135,30,kpop
댄스,7135,30,스트레스
댄스,7135,30,추억
댄스,7135,30,걸그룹
댄스,7135,30,여행
댄스,7135,30,팝
댄스,7135,30,클럽
댄스,7135,30,EDM
댄스,7135,30,노동요
댄스,7135,30,명곡
댄스,7135,30,Pop
댄스,7135,30,감성
댄스,7135,30,가요
댄스,7135,30,헬스
댄스,7135,30,내적댄스
댄스,7135,30,파티
댄스,7135,30,청량
카페,14324,30,카페
카페,14324,30,감성
카페,14324,30,기분전환
카페,14324,30,드라이브
카페,14324,30,휴식
