date	diary	diary_title	conversations	emotion	img_prompt	img_filename	song_indices	book_indices
2024-7-7	피곤한 하루	오늘은 아침에 일어나서 씻고 잠깐 누워있다가, 점심으로 치아바타 빵을 대충 먹었어요. 이후 실습실에 나가서 하루 종일 프로젝트 작업을 했어요. 저녁으로는 육회비빔밥을 먹었고, 밤에는 떡볶이로 간단히 야식을 해결했죠. 너무 피곤해서 새벽 4시 즈음에 들어가 바로 잠들었어요. 하루 종일 계속 피곤했고, 앉아있어도 눈이 감길 정도였어요.		6			457.0	
2024-7-1	애벌레와 함께 떠오른 추억	오늘 집에 오는 길에 애벌레를 보게 됐다. 그 애벌레를 보니 어릴 때부터 키우던 누에들이 생각났다. 그때 총 7마리의 누에를 키웠었고, 모두 고치를 거쳐 나방으로 우화하는 과정을 지켜본 기억이 새록새록 떠올랐다. 성충이 된 누에들을 밖에 풀어주는 일은 재밌었지만, 케이지를 씻을 때는 짜증이 많이 났던 추억도 있다. 그 이후로는 곤충을 키우지 않기로 결심했다. 오늘 애벌레를 보면서 그 모든 추억들이 한꺼번에 떠올라 잠시 기분이 착잡했다.		6				
2024-7-9	오늘 집에 오는 길에 애벌레를 봤다. 그 애벌레를 보니 예전에 내가 키우던 누에가 생각났다. 누에를 키우던 시절에는 누에 애벌레를 총 7마리 키웠는데, 모두 고치를 거쳐 나방으로 우화했다. 나방이 된 누에들을 자연으로 돌려보냈고, 그때 정말 뿌듯한 기분이 들었었다. 하지만 케이지를 씻는 일은 꽤 힘들어서 짜증이 나기도 했다. 그 당시를 회상하면 좋은 추억이지만, 그 이후로는 곤충을 키우지 않기로 결심했다.	오늘의 애벌레와 추억		6		hwal-2024-7-9.jpg	457/259/167	
2024-7-8	"오늘은 학술 발표를 하느라 바쁜 하루였다. 주제는 ""챗봇을 이용한 일기 작성 앱 만들기""였다. 발표는 무난하게 완료한 것 같았지만, 앱 개발 과정에서 디버깅이 어려웠다. 특히 변수 넘기기와 이미지 불러오는 부분에서 시간이 많이 소요되었다. 여러 방법을 시도하면서 문제를 해결하려 했지만, 아직도 작업 중이다. 발표 후 교수님이 발표 내용을 줄이고, 시험 영상을 추가하라는 피드백을 주셨다. 또한 GPT의 모델, 알고리즘, 데이터셋에 대한 구체적인 분석을 더 포함하라는 조언도 받았다. 앞으로 발표를 수정하고 교수님이 지적하신 부분을 반영하여 완성도를 높일 계획이다."	발표 준비로 바쁜 하루		6		hwal-2024-7-8.jpg	518/259/457	
2024-01-01				6			400/415/562	
2022-01-01	예시 일기입니다.	예시일기 제목입니다.	예시 대화입니다.	0	예시 이미지 프롬프트입니다.	hwal-2022-01-01.jpg	518/428/294	4/5/6/7
2024-7-10	오늘 처음으로 드론을 조정해 봤다. 평소에도 운전이나 조정하는 것을 좋아하는데, 드론은 처음이라 꽤 흥미로웠다. 그렇게 작은 드론이 헬리콥터처럼 안정적으로 비행하는 게 신기했고, 조정하는 것도 매우 재미있었다. 드론을 하늘로 날리고 지상에 설치된 카메라를 통해 내려다보니 뻥 뚫린 전경이 마음을 시원하게 했다. 특히 자유롭게 비행하는 드론을 보니 마치 나도 함께 날아가는 듯한 기분이 들었다. 앞으로도 더 자주 드론을 조정해보고 싶다. 언젠가 미래에는 사람이 탈 수 있는 드론도 나올 텐데, 그때는 직접 조종해보고 싶다.	첫 드론 조종 경험		6		hwal-2024-7-10.jpg	408/281/65	
2024-7-16	오늘 집에 오는 길에 애벌레를 보았다. 그 애벌레를 보자마자 예전에 내가 키우던 누에가 생각났다. 누에 애벌레를 총 7마리 키웠었는데, 모두 고치를 거쳐서 나방으로 우화했다. 그 과정에서 느꼈던 작은 기쁨과 만족감이 아직도 기억난다. 성충이 된 누에들을 밖에 풀어주었는데, 그때만큼은 내가 정말 큰 일을 해냈다는 생각이 들었다. 하지만 케이지를 씻는 일이 매번 귀찮고 짜증났었다. 그런 일도 있었기에 지금도 곤충을 키우고 싶지는 않다. 일종의 추억으로 남아있지만, 그 이후로는 식물이나 다른 동물을 키우지 않고 있다.	누에와의 추억을 떠올리며		6		hwal-2024-7-16.jpg		
2024-7-2	오늘은 AI 주제로 팀플 발표를 했다. 준비가 많이 되지 않아 다소 긴장이 되었다. 발표는 예정대로 진행되었지만, 교수님의 피드백이 조금 아쉬웠다. 교수님이 우리의 주제를 충분히 이해하지 못한 것 같아서 발표의 본질을 제대로 전달하지 못한 느낌이었다. 발표를 마치며 남은 시간 동안 팀원들과 함께 발표 내용을 보완하고, 교수님의 피드백을 반영해 더 나은 결과를 내기 위해 끝까지 열심히 해내기로 결심했다.	AI 발표		6		hwal-2024-7-2.jpg	259/457/518	
2024-7-12	오늘은 프로젝트 발표회 리허설을 준비하느라 정말 바빴다. 일주일 동안 밤을 새면서 준비해서 피곤했지만, 기한이 촉박해서 어쩔 수 없었다. 중간에 주제를 바꾸는 바람에 준비할 것도 많았다. 새롭게 바뀐 주제는 일기를 통해 감정을 분석하고 노래를 추천해주는 어플이다. 추천 결과에 대한 확신이 부족해서 어려움을 겪었지만, 팀원들과 협력하면서 즐겁게 프로젝트를 진행해 다행이다. 오늘 리허설을 통해 추가로 보완해야 할 부분을 파악할 수 있었다. 피피티 구성 내용에 논거를 좀 더 갖추고, 어플이 완성되면 설문조사를 통해 결과를 넣을 예정이다. 내일 발표를 좀 더 잘 준비할 수 있을 것 같아 기분이 좋다.	프로젝트 발표회 리허설 준비		6		hwal-2024-7-12.jpg	562/589/608	
